Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,0,0.707107,294,100,105,0.0875,0.952381,0.000407437,3.88035e-06
1,1,0.63021,222,100,115,0.0603261,0.869565,0.000373229,3.24547e-06
2,2,0.561675,171,100,149,0.0358641,0.671141,0.000470927,3.16058e-06
3,3,0.500593,140,100,180,0.0243056,0.555556,0.000564434,3.13574e-06
4,4,0.446154,118,100,305,0.0120902,0.327869,0.000942495,3.09015e-06
5,5,0.397635,109,100,551,0.00618194,0.181488,0.00218554,3.9665e-06
6,6,0.354393,108,100,1280,0.00263672,0.078125,0.0035277,2.75601e-06
7,7,0.315853,102,100,3962,0.000804518,0.0252398,0.0108445,2.73713e-06
8,8,0.281504,101,100,16777,0.00018813,0.00596054,0.0364146,2.1705e-06
9,9,0.250891,100,100,100510,3.10914e-05,0.000994926,0.200816,1.99797e-06
10,10,0.223607,100,100,817781,3.82132e-06,0.000122282,1.60373,1.96108e-06
11,11,0.19929,100,100,11946272,2.61588e-07,8.37081e-06,23.3374,1.95353e-06
12,12,0.177617,100,100,371090233,8.42113e-09,2.69476e-07,724.959,1.95359e-06
