Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,-3.0103,1,269,100,109,0.0771216,0.917431,0.000550771,5.05294e-06
1,-2.0103,0.891251,221,100,117,0.0590278,0.854701,0.000571605,4.88551e-06
2,-1.0103,0.794328,164,100,151,0.0339404,0.662252,0.000653687,4.32905e-06
3,-0.0103002,0.707946,136,100,168,0.0252976,0.595238,0.000710425,4.22872e-06
4,0.9897,0.630957,119,100,288,0.0129123,0.347222,0.00122145,4.24115e-06
5,1.9897,0.562341,110,100,608,0.00565378,0.164474,0.00302603,4.97702e-06
6,2.9897,0.501187,104,100,1126,0.00288632,0.0888099,0.00470161,4.17549e-06
7,3.9897,0.446684,103,100,4530,0.000710541,0.0220751,0.016692,3.68476e-06
8,4.9897,0.398107,100,100,17870,0.000174874,0.00559597,0.053545,2.99636e-06
9,5.9897,0.354813,102,100,103814,3.0704e-05,0.000963261,0.303489,2.92339e-06
10,6.9897,0.316228,100,100,853072,3.66323e-06,0.000117223,2.47617,2.90265e-06
11,7.9897,0.281838,100,100,11577957,2.69909e-07,8.6371e-06,33.5944,2.90158e-06
12,8.9897,0.251189,100,100,362995710,8.60892e-09,2.75485e-07,1047.11,2.88463e-06
