SNR : 0 | Ber : 25 | Fer : 1
SNR : 1 | Ber : 50 | Fer : 0
SNR : 2 | Ber : 75 | Fer : 0
SNR : 3 | Ber : 100 | Fer : 0
SNR : 4 | Ber : 125 | Fer : 0
SNR : 5 | Ber : 150 | Fer : 0
SNR : 6 | Ber : 175 | Fer : 0
SNR : 7 | Ber : 198 | Fer : 0
SNR : 8 | Ber : 219 | Fer : 0
SNR : 9 | Ber : 237 | Fer : 0
SNR : 10 | Ber : 252 | Fer : 0
SNR : 11 | Ber : 264 | Fer : 0
SNR : 12 | Ber : 275 | Fer : 0
SNR : 13 | Ber : 284 | Fer : 0
SNR : 14 | Ber : 291 | Fer : 0
