Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,-6.0206,1.41421,257,100,105,0.0764881,0.952381,0.00074361,7.082e-06
1,-5.0206,1.26042,215,100,118,0.0569386,0.847458,0.000705721,5.98069e-06
2,-4.0206,1.12335,195,100,149,0.0408977,0.671141,0.000841214,5.64573e-06
3,-3.0206,1.00119,133,100,187,0.0222259,0.534759,0.0010177,5.44225e-06
4,-2.0206,0.892308,126,100,288,0.0136719,0.347222,0.00185892,6.45457e-06
5,-1.0206,0.795271,113,100,624,0.00565905,0.160256,0.00311137,4.98618e-06
6,-0.0206003,0.708786,105,100,1314,0.00249715,0.0761035,0.00681557,5.18689e-06
7,0.9794,0.631706,102,100,3903,0.00081668,0.0256213,0.0189507,4.85543e-06
8,1.9794,0.563009,100,100,18518,0.000168755,0.00540015,0.108279,5.84723e-06
9,2.9794,0.501782,100,100,106056,2.94656e-05,0.000942898,0.518436,4.88833e-06
10,3.9794,0.447214,100,100,739039,4.22846e-06,0.000135311,3.57058,4.83139e-06
11,4.9794,0.39858,100,100,14257882,2.19177e-07,7.01366e-06,68.5822,4.81013e-06
12,5.9794,0.355234,100,100,423367353,7.3813e-09,2.36201e-07,2029.1,4.79276e-06
