Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,0,0.707107,1374,500,528,0.081321,0.94697,0.0012196,2.30984e-06
1,1,0.63021,1069,500,596,0.0560508,0.838926,0.000786075,1.31892e-06
2,2,0.561675,875,500,689,0.0396861,0.725689,0.0008047,1.16792e-06
3,3,0.500593,717,500,989,0.0226555,0.505561,0.000664695,6.72088e-07
4,4,0.446154,612,500,1490,0.0128356,0.33557,0.000806556,5.41313e-07
5,5,0.397635,555,500,2976,0.00582787,0.168011,0.0017455,5.86526e-07
6,6,0.354393,511,500,7334,0.00217736,0.0681756,0.00329132,4.48775e-07
7,7,0.315853,504,500,19827,0.000794371,0.0252181,0.00948673,4.78475e-07
8,8,0.281504,500,500,77521,0.000201558,0.00644987,0.0289264,3.73142e-07
9,9,0.250891,500,500,526989,2.96496e-05,0.000948786,0.117367,2.22712e-07
10,10,0.223607,500,500,3842506,4.06636e-06,0.000130123,0.821587,2.13815e-07
11,11,0.19929,500,500,58812923,2.65673e-07,8.50153e-06,12.0416,2.04744e-07
12,12,0.177617,500,500,1871132587,8.35056e-09,2.67218e-07,377.886,2.01956e-07
