Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,-3.0103,1,1337,500,539,0.0775162,0.927644,0.00143196,2.65669e-06
1,-2.0103,0.891251,1114,500,612,0.0568832,0.816993,0.000638647,1.04354e-06
2,-1.0103,0.794328,875,500,731,0.0374059,0.683995,0.000704313,9.63492e-07
3,-0.0103002,0.707946,699,500,979,0.0223123,0.510725,0.000799581,8.16732e-07
4,0.9897,0.630957,615,500,1569,0.012249,0.318674,0.00180454,1.15012e-06
5,1.9897,0.562341,551,500,2665,0.00646107,0.187617,0.0028297,1.0618e-06
6,2.9897,0.501187,517,500,6767,0.00238751,0.073888,0.00618332,9.13747e-07
7,3.9897,0.446684,508,500,20032,0.000792482,0.0249601,0.0139324,6.95507e-07
8,4.9897,0.398107,501,500,78417,0.000199654,0.00637617,0.0322801,4.11646e-07
9,5.9897,0.354813,500,500,474290,3.2944e-05,0.00105421,0.181037,3.81701e-07
10,6.9897,0.316228,500,500,4017014,3.88971e-06,0.000124471,1.48118,3.68726e-07
11,7.9897,0.281838,500,500,52154675,2.9959e-07,9.58687e-06,19.1648,3.6746e-07
12,8.9897,0.251189,500,500,1723995237,9.06325e-09,2.90024e-07,615.472,3.57004e-07
