Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s
0,-6.0206,1.41421,1310,500,525,0.0779762,0.952381,0.0020045,3.81809e-06
1,-5.0206,1.26042,1073,500,584,0.0574165,0.856164,0.000917445,1.57097e-06
2,-4.0206,1.12335,887,500,700,0.0395982,0.714286,0.000791968,1.13138e-06
3,-3.0206,1.00119,683,500,943,0.0226339,0.530223,0.000942854,9.99845e-07
4,-2.0206,0.892308,589,500,1494,0.0123201,0.334672,0.00159872,1.07009e-06
5,-1.0206,0.795271,549,500,2637,0.00650597,0.189609,0.00263207,9.98132e-07
6,-0.0206003,0.708786,519,500,7100,0.00228433,0.0704225,0.00604383,8.51244e-07
7,0.9794,0.631706,511,500,20848,0.000765961,0.0239831,0.0167847,8.05099e-07
8,1.9794,0.563009,500,500,79702,0.000196043,0.00627337,0.0592125,7.42923e-07
9,2.9794,0.501782,501,500,467837,3.34652e-05,0.00106875,0.303763,6.49293e-07
10,3.9794,0.447214,500,500,4110404,3.80133e-06,0.000121643,2.74904,6.688e-07
11,4.9794,0.39858,500,500,61302366,2.54884e-07,8.15629e-06,44.741,7.29841e-07
12,5.9794,0.355234,500,500,1779604342,8.78004e-09,2.80961e-07,1161.8,6.52839e-07
