Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s,Sim_thr_Mbps
0,-24.0824,11.3137,213,50,50,0.133125,1,15.1417,0.302834,0.105668
2,-22.0824,8.9868,134,50,56,0.0747768,0.892857,14.7418,0.263246,0.121559
4,-20.0824,7.13847,69,50,103,0.0209345,0.485437,23.4042,0.227226,0.140829
6,-18.0824,5.67029,52,50,508,0.00319882,0.0984252,111.325,0.219143,0.146023
8,-16.0824,4.50407,50,50,5428,0.000287859,0.0092115,1189.58,0.219156,0.146014
