Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s,Sim_thr_Mbps
0,-24.0824,11.3137,132,50,53,0.0778302,0.943396,16.3685,0.30884,0.103614
2,-22.0824,8.9868,89,50,73,0.0380993,0.684932,19.3426,0.264967,0.12077
4,-20.0824,7.13847,68,50,144,0.0147569,0.347222,32.1173,0.223037,0.143474
6,-18.0824,5.67029,53,50,700,0.00236607,0.0714286,151.196,0.215994,0.148152
8,-16.0824,4.50407,50,50,7643,0.000204435,0.00654193,1649.37,0.215802,0.148284
