Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s,Sim_thr_Mbps
0,-24.0824,11.3137,260,50,50,0.1625,1,16.3386,0.326772,0.0979277
2,-22.0824,8.9868,135,50,57,0.0740132,0.877193,16.0378,0.281364,0.113731
4,-20.0824,7.13847,81,50,82,0.0308689,0.609756,19.8929,0.242596,0.131907
6,-18.0824,5.67029,59,50,349,0.00528295,0.143266,79.0261,0.226436,0.14132
8,-16.0824,4.50407,51,50,3835,0.00041558,0.0130378,867.094,0.2261,0.14153
