Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s,Sim_thr_Mbps
0,-24.0824,11.3137,280,50,51,0.171569,0.980392,16.3967,0.321504,0.0995323
2,-22.0824,8.9868,121,50,58,0.065194,0.862069,16.5397,0.285167,0.112215
4,-20.0824,7.13847,73,50,81,0.0281636,0.617284,19.545,0.241296,0.132617
6,-18.0824,5.67029,57,50,301,0.00591777,0.166113,67.9572,0.225771,0.141736
8,-16.0824,4.50407,51,50,3257,0.000489331,0.0153516,734.536,0.225525,0.141891
