Eb/N0,Es/N0,sigma,be,fe,fn,BER,FER,sim_time_s,time_per_frame_s,Sim_thr_Mbps
0,-24.0824,11.3137,142,50,56,0.0792411,0.892857,16.4284,0.293365,0.109079
2,-22.0824,8.9868,90,50,65,0.0432692,0.769231,16.5417,0.254488,0.125743
4,-20.0824,7.13847,64,50,144,0.0138889,0.347222,31.7022,0.220154,0.145353
6,-18.0824,5.67029,52,50,634,0.00256309,0.0788644,137.057,0.216178,0.148026
8,-16.0824,4.50407,50,50,9275,0.000168464,0.00539084,2003.71,0.216033,0.148125
